city,state,scientific_name,tree_count
New York,New York,Acer platanoides,87014
New York,New York,Acer saccharum,64264
New York,New York,Acer rubrum,58931
New York,New York,Acer saccharinum,53185
New York,New York,Tilia cordata,40112
New York,New York,Other,348663
Oakland,California,Acer platanoides,3788
Oakland,California,Acer saccharum,3312
Oakland,California,Acer rubrum,2930
Oakland,California,Acer saccharinum,2683
Oakland,California,Tilia cordata,2161
Oakland,California,Other,20694
Oklahoma City,Oklahoma,Acer platanoides,711
Oklahoma City,Oklahoma,Acer saccharum,689
Oklahoma City,Oklahoma,Acer rubrum,584
Oklahoma City,Oklahoma,Acer saccharinum,567
Oklahoma City,Oklahoma,Tilia cordata,455
Oklahoma City,Oklahoma,Other,5865
Ontario,California,Acer platanoides,4630
Ontario,California,Acer saccharum,4392
Ontario,California,Acer rubrum,3900
